"id","ts","lat","lon","pm25"
"300","2024-05-01 03:26:55","13.8524","100.562","93"
"301","2024-05-01 04:26:54","13.8524","100.562","106"
"302","2024-05-01 04:56:54","13.8524","100.562","114"
"303","2024-05-01 06:26:55","13.8524","100.562","150"
"304","2024-05-01 06:36:54","13.8524","100.562","151"
"305","2024-05-01 06:36:54","13.8524","100.562","151"
"306","2024-05-01 06:36:54","13.8524","100.562","151"
"307","2024-05-01 10:26:54","13.8524","100.562","155"
"308","2024-05-01 10:56:55","13.8524","100.562","156"
"309","2024-05-01 12:26:54","13.8524","100.562","155"
"310","2024-05-01 13:26:54","13.8524","100.562","152"
"311","2024-05-01 14:06:55","13.8524","100.562","154"
"312","2024-05-01 15:26:55","13.8524","100.562","152"
"313","2024-05-01 16:26:55","13.8524","100.562","150"
"314","2024-05-01 17:26:54","13.8524","100.562","144"
"315","2024-05-01 18:26:54","13.8524","100.562","121"
"316","2024-05-01 19:26:54","13.8524","100.562","106"
"317","2024-05-01 20:26:54","13.8524","100.562","95"
"318","2024-05-01 21:26:54","13.8524","100.562","101"
"319","2024-05-01 21:56:54","13.8524","100.562","106"
"320","2024-05-01 23:26:54","13.8524","100.562","114"
"321","2024-05-02 00:26:55","13.8524","100.562","119"
"322","2024-05-02 01:26:54","13.8524","100.562","116"
"323","2024-05-02 02:26:55","13.8524","100.562","111"
"324","2024-05-02 03:16:55","13.8524","100.562","114"
"325","2024-05-02 03:56:54","13.8524","100.562","124"
"326","2024-05-02 05:26:55","13.8524","100.562","136"
"327","2024-05-02 06:06:54","13.8524","100.562","134"
"328","2024-05-02 07:06:54","13.8524","100.562","131"
"329","2024-05-02 08:26:54","13.8524","100.562","151"
"330","2024-05-02 09:06:56","13.8524","100.562","152"
"331","2024-05-02 10:16:54","13.8524","100.562","146"
"332","2024-05-02 11:16:55","13.8524","100.562","139"
"333","2024-05-02 12:26:57","13.8524","100.562","134"
"334","2024-05-02 13:26:55","13.8524","100.562","129"
"335","2024-05-02 13:46:54","13.8524","100.562","131"
"336","2024-05-02 15:26:54","13.8524","100.562","124"
"337","2024-05-02 16:26:55","13.8524","100.562","124"
"338","2024-05-02 17:26:54","13.8524","100.562","114"
"339","2024-05-02 18:26:55","13.8524","100.562","111"
"340","2024-05-02 19:26:54","13.8524","100.562","99"
"341","2024-05-02 20:26:54","13.8524","100.562","101"
"342","2024-05-02 21:26:55","13.8524","100.562","97"
"343","2024-05-02 22:26:54","13.8524","100.562","101"
"344","2024-05-02 23:26:54","13.8524","100.562","101"
"345","2024-05-03 00:06:54","13.8524","100.562","101"
"346","2024-05-03 01:26:54","13.8524","100.562","101"
"347","2024-05-03 02:26:54","13.8524","100.562","101"
"348","2024-05-03 03:26:54","13.8524","100.562","104"
"349","2024-05-03 04:26:55","13.8524","100.562","109"
"350","2024-05-03 05:26:55","13.8524","100.562","114"
"351","2024-05-03 06:16:54","13.8524","100.562","121"
"352","2024-05-03 06:36:55","13.8524","100.562","121"
"353","2024-05-03 06:36:55","13.8524","100.562","121"
"354","2024-05-03 06:36:55","13.8524","100.562","121"
"355","2024-05-03 10:26:55","13.8524","100.562","144"
"356","2024-05-03 11:01:21","13.8524","100.562","139"
"357","2024-05-03 12:27:03","13.8524","100.562","116"
